Community name,Area,Median income,Tree coverage percent
CITYSCAPE,2309003,108000,0.27540124
MARTINDALE,2688613,97000,4.532449066
HIDDEN VALLEY,4306109,121000,5.898092188
MACEWAN GLEN,1418368,104000,11.07449545
EDGEMONT,6620911,121000,14.41087925
SADDLE RIDGE,5595620,104000,1.975600398
BEDDINGTON HEIGHTS,3200207,90000,11.57803169
NORTH HAVEN UPPER,269156,120000,14.08318695
SANDSTONE VALLEY,1800743,101000,9.74043657
SAGE HILL,3722544,106000,1.686375972
COUNTRY HILLS,1888776,97000,5.03331901
REDSTONE,1953091,100000,0.848763639
SKYVIEW RANCH,2310524,94000,1.083447259
CORNERSTONE,7643604,99000,0.302099519
LIVINGSTON,5664685,116000,0.197082365
HAMPTONS,3502363,134000,10.64308788
HARVEST HILLS,2179338,104000,7.534155544
NORTH HAVEN,845769,102000,14.75604022
CASTLERIDGE,1212351,87000,9.12321503
KINCORA,2271435,107000,2.588204145
NOLAN HILL,2046579,129000,1.516014663
DEER RIDGE,1417011,94000,12.23867152
HIGHWOOD,949907,90000,21.26292776
TUXEDO PARK,1328655,85000,15.06602709
HIGHLAND PARK,1368344,65000,16.49359145
GREENVIEW,454187,67000,11.75476773
CRESCENT HEIGHTS,1618683,72500,20.76325873
WINSTON HEIGHTS/MOUNTVIEW,3019749,97000,11.34690479
VISTA HEIGHTS,1138619,74000,6.032404147
QUEENS PARK VILLAGE,619083,66000,18.42720428
ROSEDALE,661730,184000,25.58374176
GLENBROOK,1961068,77000,13.3752784
ROSSCARROCK,1067525,68500,8.882738468
WESTGATE,1164260,90000,16.6085211
GLENDALE,1369477,117000,19.23494187
CHINOOK PARK,581917,135000,24.5952844
WILLOW PARK,3400082,108000,16.44037335
KINGSLAND,1338047,68000,12.88066357
KILLARNEY/GLENGARRY,1844581,99000,15.75689939
WILDWOOD,2563502,148000,37.92114619
HILLHURST,2068225,93000,16.21229866
UNIVERSITY DISTRICT,1153467,74500,4.623497536
RANCHLANDS,2340193,89000,16.95296857
MONTGOMERY,2953512,96000,11.99816743
PARKDALE,1051588,114000,15.70092093
BRENTWOOD,2892792,85000,16.69857282
POINT MCKAY,383262,92000,21.2919319
DALHOUSIE,3344271,85000,16.68613939
CHARLESWOOD,1831216,115000,22.89197974
RIDEAU PARK,267126,170000,35.89013401
LOWER MOUNT ROYAL,284319,57600,12.19942685
BANKVIEW,686614,57600,19.97859615
SOUTH CALGARY,887847,87000,14.43956687
MEADOWLARK PARK,633187,143000,10.88995173
ELBOYA,721835,94000,20.12773899
MANCHESTER,473609,44000,4.709680733
DOWNTOWN WEST END,364557,81000,7.831204379
SUNNYSIDE,1022694,69500,21.58838367
DOWNTOWN EAST VILLAGE,522155,68000,5.554783345
BELTLINE,2942834,71000,5.987946414
DOWNTOWN COMMERCIAL CORE,1328768,51200,4.871538005
EAU CLAIRE,516144,130000,24.34521278
CHINATOWN,246721,54400,12.68453916
ACADIA,3901032,72500,12.7763039
HAYSBORO,2670471,78500,15.33129114
COLLINGWOOD,1562194,118000,18.53402003
CAMBRIAN HEIGHTS,864017,104000,19.3713613
MOUNT PLEASANT,1874138,101000,19.75401998
CAPITOL HILL,1414503,71500,19.81532556
FAIRVIEW,1320582,84000,17.41607175
ROSEMONT,449227,107000,20.35854003
